"date","CPI","Proxy","Replication"
1960-01-01,NA,NA,NA
1961-01-01,1.07072414764722,0.964408046978482,0.90369147641669
1962-01-01,1.19877334820184,0.856390811058305,0.997279233198389
1963-01-01,1.23966942148761,0.262858827338719,0.900770018480657
1964-01-01,1.27891156462585,-0.0026575810927687,0.941920352894576
1965-01-01,1.58516926383665,2.30148074294358,1.07938064081736
1966-01-01,3.01507537688444,4.01173484045985,1.95543140867183
1967-01-01,2.77278562259307,0.072691306779471,2.11962376414194
1968-01-01,4.27179615288533,2.49316607848908,3.02945002728288
1969-01-01,5.46238620028749,3.53818540422013,3.67483165696427
1970-01-01,5.83825533848252,4.00996018237365,3.97959220656592
1971-01-01,4.2927666881305,2.57775056414578,4.06110459285374
1972-01-01,3.27227824655278,4.11279962096343,3.14750960127788
1973-01-01,6.17776006377044,15.5265686161247,5.48332742305129
1974-01-01,11.0548048048048,17.7478770890819,7.97428486750904
1975-01-01,9.14314686496536,7.01066375168213,5.77743564038771
1976-01-01,5.74481263549085,0.711959629675696,4.91244957880237
1977-01-01,6.50168399472837,5.96261516081205,6.05270824009978
1978-01-01,7.63096383885604,7.09686539836609,6.27660040893765
1979-01-01,11.2544711292795,10.5704215024486,8.77154987642992
1980-01-01,13.5492019749684,12.4829382810541,10.6227122864314
1981-01-01,10.3347153402771,7.48617270482088,8.11613366752004
1982-01-01,6.13142700027496,1.83889355191984,5.13690394622137
1983-01-01,3.21243523316062,0.356511251491809,3.8311501036703
1984-01-01,4.30053547523428,2.25555367506161,3.84028429849688
1985-01-01,3.54564415209371,-1.27443207954011,4.48101399979892
1986-01-01,1.89804772234274,-2.59252872808047,2.50017368899782
1987-01-01,3.66456321751691,1.85814232807857,3.94616369836251
1988-01-01,4.07774110744408,2.84007313433947,3.51626292156075
1989-01-01,4.82700303008949,4.42772953351132,4.17306765756584
1990-01-01,5.3979564399032,4.41175891107961,5.06756731926261
1991-01-01,4.23496396453855,0.352936656161495,2.95287281794425
1992-01-01,3.02881967814967,0.524037794419829,1.70284428977125
1993-01-01,2.95165696638557,1.20026445870802,1.94103396005119
1994-01-01,2.60744159215458,0.526797435770199,1.95366534014596
1995-01-01,2.80541968853658,1.06946094907796,2.03370700946086
1996-01-01,2.93120419993438,4.50977597133118,2.64242994090766
1997-01-01,2.33768993730741,0.41848113393872,2.45808290600638
1998-01-01,1.55227909874365,-2.45489015041143,1.64965449135748
1999-01-01,2.18802719697357,0.616533160014887,2.78831451988415
2000-01-01,3.37685727149932,4.32854892480206,4.47982973673269
2001-01-01,2.82617111885406,2.03610517896642,3.12561433075089
2002-01-01,1.58603162650603,-2.39272679070835,2.22111420521156
2003-01-01,2.27009497336113,6.00979974388225,3.08573339326776
2004-01-01,2.67723669309172,5.20691544071261,3.73313657789562
2005-01-01,3.39274684549546,4.522948527465,4.19526187398247
2006-01-01,3.22594410070407,1.59363025796566,4.02990815706021
2007-01-01,2.85267248150138,5.72098826403764,4.2786977805886
2008-01-01,3.839100296651,9.83360075577779,5.02706703467797
2009-01-01,-0.355546266299744,-6.96944910959755,-1.84159317548447
2010-01-01,1.64004344238988,5.31023639810673,1.94545536934754
2011-01-01,3.15684156862206,9.0045654635325,4.54532158104626
2012-01-01,2.06933726526062,2.39545141728399,2.57490776992699
2013-01-01,1.46483265562714,1.08567429477102,1.77672688352495
2014-01-01,1.62222297740822,3.01345062034866,2.14418126781077
2015-01-01,0.11862713555244,-6.39297147425835,-0.497459030566705
2016-01-01,1.26158320570537,-2.92218292898954,1.62208095417504
2017-01-01,2.13011000365961,2.74349967671206,3.76066552168037
